<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
acknowledgement	acknowledgee	The individual or group being acknowledged by the project.	string												
acknowledgement	projects			_definitions.yaml#/to_many_project											
aligned_reads_index	data_category		enum	_terms.yaml#/data_category				Sequencing Reads 							
aligned_reads_index	data_type		enum	_terms.yaml#/data_type				Aligned Reads Index 							
aligned_reads_index	data_format		enum	_terms.yaml#/data_format				BAI 							
aligned_reads_index	submitted_aligned_reads_files			_definitions.yaml#/to_one											
aligned_reads_index	core_metadata_collections			_definitions.yaml#/to_many											
alignment_workflow	input_submitted_unaligned_reads_files			_definitions.yaml#/to_many											
alignment_workflow	output_submitted_aligned_reads_files			_definitions.yaml#/to_one											
aliquot	aliquot_container	The device in which the final aliquot is held. Slides or vials.	enum					Serum Card | Slide | Vial 							
aliquot	aliquot_quantity	The quantity in micrograms (ug) of the aliquot derived from the sample and used for experimentation.	number												
aliquot	aliquot_volume	The volume in microliters (uL) of the aliquot derived from the sample and used for experimentation.	number												
aliquot	clinical_or_contrived	Is the aliquot clinical or contrived?	enum					Clinical | Contrived 							
aliquot	contrivance_method	"The name or general description of the contrivance(s) added to the biological aliquot. Alternatively, if you have provided a contrivance protocol, enter its file_name here.
"	string												
aliquot	hours_to_freezer_lower	"The lower limit on the amount of time, in hours, that it took between the sample being fractionated and the aliquot being frozen or otherwise preserved. If the exact time is known, make this value equal to that of the upper limit. If the time is completely unknown, enter Unknown. If no fractionation was performed on this sample, enter Not Applicable.
"	number												
aliquot	hours_to_freezer_upper	"The upper limit on the amount of time, in hours, that it took between the sample being fractionated and the aliquot being frozen or otherwise preserved. If the exact time is known, make this value equal to that of the lower limit. If the time is completely unknown, enter Unknown. If no fractionation was performed on this sample, enter Not Applicable.
"	number												
aliquot	methanol_added	In the preparation of a slide, was methanol added as a fixative? True/False.	boolean												
aliquot	preservation_method		enum	_terms.yaml#/preservation_method				Cryopreserved | FFPE | Fresh | OCT | Snap Frozen | Frozen | Unknown 							
aliquot	storage_temperature	The temperature, in centrigrade, at which the aliquot was preserved and/or stored.	number												
aliquot	samples			_definitions.yaml#/to_one											
analyte	analyte_isolation_method	"The name or general description of the method used to isolate the analyte. Alternatively, if you have provided a protocol, put the file_name here.
"	string												
analyte	analyte_type		enum	_terms.yaml#/analyte_type				DNA | RNA | Peptide | Protein | Morphology | Cell Count 							
